dataset,n_rows,n_features,hidden_dim,latent_dim,context_dim,attention_heads,batch_size,outlier_rate,n_outliers
10_cover,286048,10,64,4,4,4,256,0.009603283365029646,2747
11_donors,619326,10,64,4,4,4,256,0.05927411411760527,36710
14_glass,214,7,64,4,4,4,53,0.04205607476635514,9
17_InternetAds,1966,1555,256,32,40,4,256,0.1871820956256358,368
18_Ionosphere,351,32,96,8,8,4,87,0.358974358974359,126
19_landsat,6435,36,96,9,9,4,256,0.20714840714840715,1333
20_letter,1600,32,96,8,8,4,256,0.0625,100
23_mammography,11183,6,64,4,4,4,256,0.023249575248144506,260
24_mnist,7603,100,192,25,25,4,256,0.09206892016309351,700
25_musk,3062,166,256,32,40,4,256,0.03167864141084259,97
26_optdigits,5216,64,160,16,16,4,256,0.028757668711656442,150
27_PageBlocks,5393,10,64,4,4,4,256,0.09456703133691823,510
28_pendigits,6870,16,64,4,4,4,256,0.022707423580786028,156
30_satellite,6435,36,96,9,9,4,256,0.3163947163947164,2036
31_satimage-2,5803,36,96,9,9,4,256,0.0122350508357746,71
32_shuttle,49097,9,64,4,4,4,256,0.0715114976475141,3511
34_smtp,95156,3,64,2,4,4,256,0.0003152717642607928,30
35_SpamBase,4207,57,128,14,14,4,256,0.39909674352270025,1679
36_speech,3686,400,256,32,40,4,256,0.016549104720564298,61
38_thyroid,3772,6,64,4,4,4,256,0.024655355249204668,93
3_backdoor,95329,196,256,32,40,4,256,0.02443118043827167,2329
40_vowels,1456,12,64,4,4,4,256,0.034340659340659344,50
41_Waveform,3443,21,64,5,5,4,256,0.02904443799012489,100
5_campaign,41188,62,128,15,15,4,256,0.11265417111780131,4640
6_cardio,1831,21,64,5,5,4,256,0.0961223375204806,176
7_Cardiotocography,2114,21,64,5,5,4,256,0.22043519394512773,466
8_celeba,202599,39,96,9,9,4,256,0.022443348683853327,4547
