method,n_datasets,auc_roc_mean,auc_roc_std,ap_mean,ap_std,wins_auc_roc,wins_ap,n_errors_total
CBLOF,27,0.7773537070127118,0.14536340700082095,0.3279678019650259,0.2717060448888373,6,6,81
CALDM-D,27,0.7742370987005249,0.16161114589257905,0.35472171658011953,0.29468843921285076,2,1,81
IForest,27,0.7736213644147701,0.1486243699435447,0.349990520142132,0.3081730615108286,3,2,81
COPOD,27,0.7600586887620319,0.1543015495257494,0.3015076316567755,0.25791206075941714,2,2,81
ECOD,27,0.759476033435624,0.1697577910593804,0.32576331713080436,0.24170511195935082,3,4,81
PCA,27,0.7550384045326987,0.18199539937034584,0.3448827967211177,0.2910824610354984,3,2,81
KNN,27,0.7507681017754817,0.15875741099771998,0.2950799795156524,0.20965030810851282,2,3,81
HBOS,27,0.7460191846157983,0.1441578484807754,0.31066596872037733,0.2820631614563736,2,3,81
CALDM-J,27,0.7385291439523824,0.16122947875122384,0.2814949214918706,0.22230070848251463,2,1,81
DeepSVDD,27,0.725063580997485,0.1717433631533818,0.30776095346488375,0.26884262143733784,0,0,81
LODA,27,0.6795490688222507,0.178869883856774,0.28373772703363337,0.2530288410126445,0,1,81
LOF,27,0.6264396463317409,0.13163490166534744,0.19562444064613912,0.18038372293318536,2,2,81
